Number	Name
005	Canadian Human Rights Commission
BSA00	Engagement and Advocacy
BSA01	Promotion Program
BSB00	Human Rights Complaints
BSB01	Protection Program
BSC00	Employment Equity Audits
BSC01	Employment Equity Program
ISSA0	Internal support services core responsibility
013	Office of the Commissioner for Federal Judicial Affairs
ARP00	Canadian Judicial Council
ARR00	Federal Judicial Affairs
ARS00	Payments Pursuant to the Judges Act
ISC0A	Internal Services
016	Courts Administration Service
ARW00	Judicial Services
ARX00	Registry Services
ISC0A	Internal Services
025	Office of the Director of Public Prosecutions
BIT00	Regulatory Offences and Economic Crime Prosecution Program
BJF00	Drug, National Security and Northern Prosecutions Program
DAG00	Compliance and Enforcement
ISC0A	Internal Services
026	Offices of the Information and Privacy Commissioners of Canada
ASN00	Compliance Activities
ASO00	Compliance with Access to Information Obligations
ASR00	Public Outreach
AST00	Research and Policy Development
ISC0A	Internal Services
029	Supreme Court of Canada
ASW00	Court Operations
HGK00	Payments to Judges of the Supreme Court of Canada Pursuant to the Judges Act
ISC0A	Internal Services
037	Administrative Tribunals Support Service of Canada
CHC00	Tribunal Specialized and Expert Support Services
CHD00	Registry Services
CHE00	Payments to tribunal chairs and members
ISC0A	Internal Services
45	National Defence
001	National Defence (Department of)
CQA00	Defence Combat and Support Operations
CQB00	Defence Services and Contributions to Government
CQC00	Defence Ready Force Element Production
CQD00	Defence Capability Element Production
CQE00	Defence Capability Development and Research
ISC0A	Internal Services
005	Canadian Forces Grievance Board
ATA00	Independent review of military grievances.
ISC0A	Internal Services
007	Communications Security Establishment
BNE00	Signals intelligence
BNF00	Information Technology Security
ISC0A	Internal Services
009	Military Police Complaints Commission
BDV00	Complaints Resolution
ISC0A	Internal Services
013	Office of the Communications Security Establishment Commissioner
ATG00	The Communications Security Establishment Commissioner's Review Program
ISC0A	Internal Services
48	Natural Resources
001	Natural Resources (Department of)
BMT00	Market Access and Diversification
BMU00	Innovation for New Products and Processes
BMV00	Investment in natural resource sectors
BMW00	Statutory Programs-Atlantic Offshore
BMX00	Energy-efficient Practices and Lower-carbon Energy Sources
BMY00	Technology Innovation
BMZ00	Responsible Natural Resource Management
BNA00	Protection for Canadians and Natural Resources
BNB00	Landmass Information
ISC0A	Internal Services
005	Atomic Energy of Canada Limited
ATV00	Atomic Energy of Canada Limited
009	Canadian Nuclear Safety Commission
DAI00	Nuclear Fuel Cycle
DAJ00	Nuclear Reactors
DAK00	Nuclear Substances and Prescribed Equipment
DAL00	Nuclear Non-Proliferation
DAM00	Scientific, Technical, Regulatory and Public Information
ISC0A	Internal Services
017	National Energy Board
BTA00	Energy  Adjudication
BTA01	Infrastructure, Tolls and Export Applications
BTA02	Participant Funding
BTB00	Safety and Environment Oversight
BTB01	Company Performance
BTB02	Management System and Industry Performance
BTB03	Emergency Management
BTB04	Regulatory Framework
BTC00	Energy Information
BTC01	Energy System Information
BTC02	Pipeline Information
BTD00	Engagement
BTD01	Stakeholder Engagement
BTD02	Indigenous Engagement
ISSA0	Internal support services core responsibility
029	Northern Pipeline Agency
AUP00	Oversee and regulate the planning and construction of the Canadian portion of the Alaska Highway Natural Gas Pipeline Project
ISC0A	Internal Services
50	Infrastructure and Communities
021	Office of Infrastructure of Canada
BJH00	Funding for Provincial-Territorial Priorities
BJQ00	Permanent and Flexible Infrastructure Funding
CSA00	Investments in National Infrastructure Priorities
CSB00	Large Scale Infrastructure Investments
CSC00	Infrastructure Investments in Small Communities and Rural Areas
CSD00	New Bridge for the St. Lawrence Corridor Project
ISC0A	Internal Services
025	PPP Canada Inc. (Crown Corporation)
AHZ00	Crown Corporation PPP Canada Inc.
027	The Jacques-Cartier and Champlain Bridges Inc.
BJE00	The Jacques-Cartier and Champlain Bridges Inc.
037	The Windsor-Detroit Bridge Authority
CHB00	The Windsor-Detroit Bridge Authority
51	Parliament
001	Senate
AVN00	Senators, House Officers, and their Offices
AVP00	Chamber, Committees and Associations
AVQ00	Administrative Support
005	House of Commons
AVA00	House Administration
AVB00	Members and House Officers
ISC0A	Internal Services
009	Library of Parliament
AVH00	Information Support for Parliament
ISC0A	Internal Services
012	Office of the Conflict of Interest and Ethics Commissioner
BDG00	Administration of the Conflict of Interest Act and the Conflict of Interest Code for Members of the House of Commons
ISC0A	Internal Services
050	Senate Ethics Officer
BFL00	Administration
ISC0A	Internal Services
052	Parliamentary Protective Service
AVV00	Physical security
54	Privy Council
001	Privy Council Office
BEB00	Advice and support to the Prime Minister and portfolio ministers
BEF00	Public service leadership and direction
BEI00	Commissions of inquiry
BLG00	Advice and support to Cabinet and Cabinet committees
ISC0A	Internal Services
009	Canadian Intergovernmental Conference Secretariat
AVS00	Conference Services
ISC0A	Internal Services
013	Canadian Transportation Accident Investigation and Safety Board
BWA00	Independent safety investigations and communication of risks in the transportation system
BWA01	Aviation occurrence investigations
BWA02	Marine occurrence investigations
BWA03	Rail Occurrence Investigations
BWA04	Pipeline occurrence investigations
ISSA0	Internal support services core responsibility
017	Office of the Chief Electoral Officer
HGG00	Electoral Operations
HGI00	Regulation of Electoral Activities
HGJ00	Electoral Engagement
ISC0A	Internal Services
021	Office of the Commissioner of Official Languages
AWF00	Protection of Language Rights
AWG00	Promotion of Linguistic Duality
ISC0A	Internal Services
033	Security Intelligence Review Committee
AWV00	Investigations
AWW00	Reviews
ISC0A	Internal Services
57	Public Safety and Emergency Preparedness
001	Public Safety and Emergency Preparedness (Department of)
AYJ00	National Security
AYK00	Emergency Management
BLE00	Border Strategies
ISC0A	Internal Services
LJP00	Countering Crime
004	Canada Border Services Agency
AWZ00	Risk Assessment Program
AXB00	Admissibility Determination
AXE00	Secure and Trusted Partnerships
AXI00	Revenue and Trade Management
AXJ00	Recourse
HGB00	Criminal Investigations
HGC00	Immigration Enforcement
ISC0A	Internal Services
007	Canadian Security Intelligence Service
AXF00	Intelligence Program
BJR00	Security Screening Program
009	Correctional Service of Canada
BER00	Custody
BES00	Correctional Interventions
BET00	Community Supervision
ISC0A	Internal Services
013	Parole Board of Canada
BUA00	Conditional Release Decisions
BUA01	Conditional Release Decisions
BUB00	Conditional Release Openness and Accountability
BUB01	Conditional Release Openness and Accountability
BUC00	Record Suspension Decisions/Clemency Recommendations
BUC01	Record Suspension Decisions/Clemency Recommendations
ISSA0	Internal support services core responsibility
017	Office of the Correctional Investigator of Canada
AYD00	Ombudsman for federal offenders
ISC0A	Internal Services
021	Royal Canadian Mounted Police
AYO00	Police Operations
AYR00	Canadian Law Enforcement Services
HGD00	International Policing Operations
HGE00	Canadian Police Culture and Heritage
HGF00	Transfer Payments
ISC0A	Internal Services
025	Royal Canadian Mounted Police External Review Committee
BEN00	Appeal case reviews  
029	Civilian Review and Complaints Commission for the Royal Canadian Mounted Police
AYX00	Civilian review of RCMP members' conduct in the performance of their duties
ISC0A	Internal Services
59	Public Services and Procurement
001	Public Works and Government Services (Department of)
AZA00	Acquisitions
AZN00	Federal Pay and Pension Administration
BEQ00	Accommodation Management and Real Property Services  
BEU00	Receiver General for Canada
BEW00	Linguistic Management and Services
BEX00	Specialized Programs and Services
BEY00	Procurement Ombudsman
CUA00	Integrity Programs and Services
ISC0A	Internal Services
006	Shared Services Canada
BFS00	E-mail and Workplace Technology
BFT00	Data Centres
BFU00	Telecommunications
BFV00	Cyber and IT Security
BFW00	Program Management
BFX00	Brokered Public Cloud Services
ISC0A	Internal Services
007	Canada Post Corporation
ABU00	Canada Post Corporation
023	Old Port of Montreal Corporation Inc.
BIL00	Old Port of Montreal Corporation Inc.
061	Public Service Commission
AEJ00	Staffing System Integrity and Political Impartiality
AEL00	Staffing Services and Assessment
BHE00	Oversight of Integrity in Staffing and of Non Partisanship
ISC0A	Internal Services
63	Transport
001	Transport (Department of)
BAY00	Transportation Marketplace Frameworks
BAZ00	Gateways and Corridors
BBC00	Transportation Infrastructure
BBH00	Clean Air from Transportation
BBI00	Clean Water from Transportation
BBN00	Environmental Stewardship of Transportation
BBO00	Aviation Safety
BBU00	Marine Safety
BCK00	Rail Safety
BCN00	Motor Vehicle Safety
BCO00	Transportation of Dangerous Goods
BCQ00	Aviation Security
BCR00	Marine Security
BCT00	Surface and Intermodal Security
CHA00	Multimodal Safety and Security
ISC0A	Internal Services
009	Canadian Air Transport Security Authority (CATSA) (Crown Corporation)
BIY00	The Canadian Air Transport Security Authority (CATSA)
013	Canadian Transportation Agency
BAN00	Economic Regulation
BAO00	Adjudication and Alternative Dispute Resolution
ISC0A	Internal Services
015	The Federal Bridge Corporation Limited
BJG00	The Federal Bridge Corporation Limited
017	Marine Atlantic Inc. (Crown Corporation)
BJC00	Marine Atlantic Inc.
035	VIA Rail Canada Inc. (Crown Corporation)
BIZ00	VIA Rail Canada Inc.
66	Treasury Board
001	Treasury Board Secretariat
BXA00	Spending Oversight
BXA01	Oversight and Treasury Board Support 
BXA02	Expenditure Data, Analysis, and Reviews
BXA03	Results and Performance Reporting Policies and Initiatives
BXA04	Government-wide Funds
BXB00	Administrative Leadership
BXB01	Comptrollership Policies and Initiatives
BXB02	Service Delivery Policies and Initiatives
BXB03	Digital Technology and Security Policies and Initiatives
BXB04	Management Accountability Framework and Policy Suite Integrity
BXC00	Employer
BXC01	Collective Bargaining and Labour Relations
BXC02	Pension and Benefits Management
BXC03	People Management and Executive Policies and Initiatives
BXC04	Public Service Employer Payments
BXD00	Regulatory Oversight
BXD01	Regulatory Policy and Oversight
BXD02	Regulatory Cooperation
ISSA0	Internal support services core responsibility
ISSA1	Management and Oversight
ISSA2	Communications
ISSA3	Legal
ISSA4	Human Resources Management
ISSA5	Financial Management
ISSA6	Information Management
ISSA7	Information Technology
ISSA8	Real Property Management
ISSA9	Materiel Management
ISSAZ	Acquisition Management
015	Canada School of Public Service
DAS00	Learning Services
ISC0A	Internal Services
017	Office of the Commissioner of Lobbying
BVA00	Ensure transparency and accountability in the lobbying of public office holders in order to contribute to confidence in the integrity of government decision making
BVA01	Registry of Lobbyists
BVA02	Outreach and Education
BVA03	Compliance and Enforcement
ISSA0	Internal support services core responsibility
018	Office of the Public Sector Integrity Commissioner
BLB00	Disclosure and Reprisal Management Program
ISC0A	Internal Services
69	Veterans Affairs
001	Veterans Affairs (Department of)
BBX00	Health Care Program and Re-establishment Services
BCJ00	Veterans Ombudsman
BCX00	Canada Remembers Program
BNC00	Disability and Death Compensation
BND00	Financial Support Program
ISC0A	Internal Services
LJQ00	Review and Appeal
98	Other than Budgetary Expenditures
981	Receiver General
SAA00	Receiver General Operation
SAA01	Consolidated Crown corporations and other entities-Agriculture and Agri-Food
SAA02	Consolidated Crown corporations and other entities-Canadian Heritage
SAA03	Consolidated Crown corporations and other entities-Finance
SAA04	Consolidated Crown corporations and other entities-Global Affairs
SAA05	Consolidated Crown corporations and other entities-Indigenous and Northern Affairs
SAA06	Consolidated Crown corporations and other entities-Infrastructure and Communities
SAA07	Consolidated Crown corporations and other entities-Innovation, Science and Economic Development
SAA08	Consolidated Crown corporations and other entities-Natural Resources
SAA09	Consolidated Crown corporations and other entities-Public Services and Procurement
SAA10	Consolidated Crown corporations and other entities-Transport
SBA00	Central Provision Allowance
982	Superannuation
SCA00	Superannuation Accounting
983	Regional Pay Office
SDA00	Salary deductions
